EmpID,FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Performancance lvel
3703,Addisyn,Guerrero,31-Aug-20,26-Jun-22,Production Technician I,Cory Lee,addisyn.guerrero@bilearner.com,EW,Active,Part-Time,Zone A,Part-Time,Resignation,Tax herself interview maybe control.,Production       ,Engineers,15-02-1951,MA,Engineer,Female,87563,White,Widowed,Exceeds,4,high
3704,Addisyn,Aguilar,25-Jan-19,26-Oct-21,Production Technician I,April Stevens,addisyn.aguilar@bilearner.com,CCDR,Active,Full-Time,Zone C,Part-Time,Involuntary,Message firm social daughter third ready.,Production       ,Field Operations,05-02-1976,MA,Associate,Female,20993,Asian,Married,Exceeds,5,very high
3705,Marcos,Gallagher,21-Nov-20,09-Apr-23,Production Technician I,Bridget Little,marcos.gallagher@bilearner.com,BPC,Active,Full-Time,Zone A,Part-Time,Involuntary,Any after despite suddenly decade.,Production       ,General - Sga,27-05-1967,MA,Vp,Female,88723,White,Single,Exceeds,3,medium
3706,Mareli,Parker,23-Sep-19,,Production Technician I,Lisa Hamilton,mareli.parker@bilearner.com,WBL,Active,Full-Time,Zone B,Part-Time,Unk,,Production       ,Field Operations,08-11-1974,MA,Laborer,Male,59933,White,Divorced,Exceeds,3,medium
3707,Joshua,Mitchell,11-Dec-22,,Production Technician I,Kenneth Keller,joshua.mitchell@bilearner.com,TNS,Active,Contract,Zone B,Temporary,Unk,,Production       ,Engineers,01-12-1995,MA,Manager,Male,81280,Asian,Divorced,Exceeds,3,medium
3708,Case,Gaines,21-Aug-20,20-Sep-22,Production Technician I,Morgan Smith,case.gaines@bilearner.com,SVG,Active,Full-Time,Zone C,Part-Time,Resignation,Finally feeling often some.,Production       ,Fielders,19-02-1974,MA,Engineer,Male,13899,Black,Married,Exceeds,4,high
3709,Jacey,Reyes,04-Feb-19,17-Apr-23,Production Technician I,Donald Powell,jacey.reyes@bilearner.com,PYZ,Active,Full-Time,Zone C,Part-Time,Voluntary,Provide late phone school score sound growth.,Production       ,Splicing,18-09-1969,MA,Splicer,Male,44907,Black,Divorced,Exceeds,5,very high
3710,Dean,Middleton,29-Oct-21,,Production Technician I,Rebecca Henderson,dean.middleton@bilearner.com,PL,Active,Full-Time,Zone C,Part-Time,Unk,,Production       ,Aerial,16-10-1960,MA,Foreman,Female,64630,Hispanic,Single,Exceeds,1,low
3711,Marlene,Bates,17-Jul-21,,Production Technician I,David Bowman,marlene.bates@bilearner.com,NEL,Active,Part-Time,Zone A,Temporary,Unk,,Production       ,Finance & Accounting,03-01-1981,MA,Administrative,Female,36588,Black,Single,Needs Improvement,1,low
3712,Kyra,Ray,28-Apr-19,01-Sep-22,Production Technician I,Christopher Robertson,kyra.ray@bilearner.com,MSC,Future Start,Part-Time,Zone C,Temporary,Retirement,Year color woman become year scene very.,Production       ,Field Operations,03-04-1956,MA,Technician,Male,33658,Asian,Married,Needs Improvement,5,very high
3713,Melanie,Kennedy,21-Jul-20,,Production Technician I,Michelle Miller,melanie.kennedy@bilearner.com,EW,Active,Full-Time,Zone B,Temporary,Unk,,Production       ,General - Sga,10-04-1985,MA,Administrator,Male,87025,Hispanic,Widowed,Fully Meets,3,medium
